"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"dac2012_superblue12.hgr","DAC2012",128,98008,98771.7,0.0299188,2239.78257
"dac2012_superblue14.hgr","DAC2012",2,3845,3951.9,0.00657638757,98.861929
"dac2012_superblue14.hgr","DAC2012",4,6727,7656.9,0.015087413,114.697436
"dac2012_superblue14.hgr","DAC2012",8,11768,12673.4,0.02493689,135.010646
"dac2012_superblue14.hgr","DAC2012",16,17985,18458.7,0.02864099,165.69625
"dac2012_superblue14.hgr","DAC2012",32,27996,28357.4,0.02990413,235.38655
"dac2012_superblue14.hgr","DAC2012",64,40659,41410.9,0.02990771,370.62267
"dac2012_superblue14.hgr","DAC2012",128,60196,60537.5,0.0298235,625.19053
"dac2012_superblue16.hgr","DAC2012",2,7466,7717.6,0.000389781,119.574886
"dac2012_superblue16.hgr","DAC2012",4,12682,13107.3,0.011851529,142.695596
"dac2012_superblue16.hgr","DAC2012",8,16686,17035.7,0.017976233,181.386624
"dac2012_superblue16.hgr","DAC2012",16,20917,21372.1,0.02776823,280.00338
"dac2012_superblue16.hgr","DAC2012",32,27017,27476.1,0.02760264,489.54191
"dac2012_superblue16.hgr","DAC2012",64,34854,35225.2,0.02970123,1123.42114
"dac2012_superblue16.hgr","DAC2012",128,47547,48155.7,0.0298754,2591.70769
"dac2012_superblue19.hgr","DAC2012",2,1405,1612,0.007603706,98.470174
"dac2012_superblue19.hgr","DAC2012",4,4612,5069.4,0.02479767,138.077364
"dac2012_superblue19.hgr","DAC2012",8,9771,10365.4,0.02851129,205.344471
"dac2012_superblue19.hgr","DAC2012",16,13970,14432.5,0.02936367,212.15215
